If I were you, I would be careful!;An deiner Stelle wäre ich vorsichtig!
Might I disturb you for a moment?;Dürfte ich Sie kurz stören?
Not that I know of!;Nicht, dass ich wüsste!
To place an order;eine Bestellung aufgeben
Common in Germany;in Deutschland üblich
Not common in Germany;in Deutschland nicht üblich
Sadness;Traurigkeit
Joy;Freude
Anger;Wut
Satisfaction;Zufriedenheit
Skepticism;Skepsis
Talk about cultural misunderstandings in the workplace;Über kulturelle Missverständnisse am Arbeitsplatz sprechen
In Germany, shaking hands is a sign of respect;In Deutschland ist das Händeschütteln ein Zeichen des Respects
In other countries, people prefer to bow as a greeting;in anderen Ländern verbeugt man sich lieber zur Begrüßung
If you shake your head in Germany, it means no;Wenn man in Deutschland den Kopf schüttelt, heißt das Nein
In other cultures, this gesture can mean agreement;In anderen Kulturen kann diese Geste aber Zustimmung ( Ja!) bedeuten
Pause culture in other countries;Pausenkultur in anderen Ländern
To shake one's head;den Kopf schütteln
To shake/give someone's hand;jemandem die Hand schütteln/geben
To bow;sich verbeugen
The gesture;die Geste
Handshaking;das Händeschütteln
Mandatory;verpflichtend
Break/Rest period;die Ruhepause
Globalization;die Globalisierung
Early morning hours;die frühen Morgenstunden
Coffee break;die Kaffeepause
Here, one means an insect repellent;Hier meint man ein Insektenschutzmittel
Other contexts;andere Kontexte
Medications;Medikamente
Cosmetics;Kosmetik
Cleaners;Reiniger
Zu + infinitive or conjunction;zu + Infinitiv oder Konjunktion
It is better to separate the trash;Es ist besser, den Müll zu trennen
I make sure to always fill the washing machine;Ich achte darauf, die Waschmaschine immer voll zu machen
It is better if you separate the trash;Es ist besser, wenn man den Müll trennt
I make sure that the washing machine is always full;Ich achte darauf, dass die Waschmaschine immer voll ist
Express necessity;Notwendigkeit ausdrücken
It is important;Es ist wichtig
It would be sensible;Es wäre sinnvoll
One should (regularly);Man sollte (regelmäßig)
One should make sure;Man sollte darauf achten
One should consider;Man sollte sich überlegen
What else is it called?;Wie heißt es anders?
Connect the synonyms;Verbinde die Synonyme
Making the homeland dirty with trash;Heimat mit Müll dreckig machen
Intensive;intensiv
To increase/become more;mehr werden
To be the reason/cause for something;der Grund / die Ursache sein für etwas
Home;Zuhause
To litter;vermüllen
To increase/rise;sich erhöhen
Industrial accidents;Betriebsunfälle
To cause something;etwas verursachen
Accidents at work;Unfälle bei der Arbeit
Flight/Escape;Flucht
To leave the country because it is dangerous;das Land verlassen, weil es gefährlich ist
Severe/Violent;heftig
Human-made disasters;Menschengemachte Katastrophen
Which human activities are particularly dangerous for the environment?;Welche Aktivitäten des Menschen sind besonders gefährlich für die Umwelt?
What's in the text?;Was steht im Text?
What happened in Fukushima?;Was passierte in Fukushima?
Read the text and clarify the new vocabulary with your teacher;Lies den Text und kläre die neuen Vokabeln mit deiner Lehrkraft
What is missing?;Was fehlt?
Complete the sentences with the appropriate nouns;Ergänze die Sätze mit den passenden Nomen
The sick person must be operated on;Der Kranke muss operiert werden
Julia has a new one [boyfriend] again;Julia hat schon wieder einen Neuen
The blonde doesn't like her hair color;Die Blonde mag ihre Haarfarbe nicht
Nothing interesting happened today;Heute ist nichts Interessantes passiert
I wouldn't go on vacation with the little one yet;Ich würde mit dem Kleinen noch nicht in den Urlaub fahren
Case, Number, Gender, Article;Kasus, Numerus, Genus, Artikel
Large/Capitalized;groß
Stays the same;bleibt gleich
Only the brave speak the uncomfortable truth;Nur die Mutigen sprechen die unbequeme Wahrheit aus
Soon it will be too late for our planet;Bald ist es zu spät für unseren Planeten
The rich often have a larger CO2 footprint than the poor;Die Reichen haben oft eine größeren CO2-Fußabdruck als die Armen
The beach is being cleaned up by volunteers;Der Strand wird von Freiwilligen aufgeräumt
One often listens more to the loud [ones] and their demands;Oft hört man den Lauten und ihren Forderungen eher zu
Soraya discusses paper consumption in the office with the new one [female];Soraya diskutiert mit der Neuen über den Papierverbrauch im Büro
True;wahr
Catastrophic;katastrophal
Something right;Richtiges
Young ones;Jungen
Older ones;älteren
Something better;Besseres
To be for the bin (useless);für die Tonne sein
Meaning: useless, worthless, can go;Bedeutung: nutzlos, wertlos, kann weg
Idiom/Figure of speech;Redewendung
End of the lesson;Ende der Lektion
I finished yesterday and today the project was cancelled;Ich bin gestern fertig geworden und heute wurde das Projekt abgebrochen
Oh man, now all my work has been for nothing!;Oh Mann, jetzt ist meine ganze Arbeit für die Tonne gewesen!
Additional exercises;Zusatzübungen
What goes in which trash?;Was kommt in welchen Müll?
Careful, you shouldn't throw everything away;Vorsicht, man sollte nicht alles wegschmeißen
Which two do not fit?;Welche zwei passen nicht?
Plastic;Kunststoff
Waste paper;Altpapier
Organic waste;Biomüll
Banana peel;Bananenschale
Yesterday's newspaper;Zeitung von gestern
Yogurt cup;Joghurtbecher
Plastic bottle;Plastikflasche
Letter from the tax office;Brief vom Finanzamt
Tea bag;Teebeutel
Outside/Outdoors;außen / draußen
Towards the outside;nach außen / nach draußen
From the outside;von außen / von draußen
Up/Down (Above/Below);oben / unten
Front/Back;vorne / hinten
Left/Right;links / rechts
In everyday German, one often hears that...;Im Alltagsdeutsch hört man oft, dass …
'Wohin' and 'woher' are separated;wohin und woher getrennt werden
One says 'raus' instead of 'nach draußen';man raus statt nach draußen sagt
Where are you going?;Wo gehst du hin?
I'm going outside briefly for a smoke!;Ich geh kurz raus, eine rauchen!
My friend [female] is waiting for me there!;Meine Freundin wartet da auf mich!
My friend is waiting for me up there!;Meine Freundin wartet da vorne auf mich!
My friend is waiting for me up there on the left!;Meine Freundin wartet da vorne links auf mich!
Everywhere;überall
Beautiful;schön
Downhill;bergab
Somewhere;irgendwo
Straight ahead;geradeaus
To somewhere;irgendwohin
Next door;nebenan
Up there;vorne
To there;dahin
From the right;von rechts
Elsewhere;anderswo
To be everywhere and nowhere;überall und nirgends sein
German traditions;Deutsche Traditionen
Reading;LESEN
Intermediate level;Mittelstufe
German;Deutsch
Learning objectives;Lernziele
I can understand a text about German traditions accurately;Ich kann einen Text über deutsche Traditionen genau verstehen
I can talk about German holidays and customs;Ich kann über deutsche Feiertage und Bräuche sprechen
Collect associations about Germany;Sammelt Assoziationen über Deutschland
Cars;Autos
Order/Orderliness;Ordnung
Beer;Bier
Warm-up – Typically German?;Aufwärmen – Typisch Deutsch?
Custom;Brauch
Virtue;Tugend
Mentality;Mentalität
Cliché;Klischee
Vocabulary on the topic;Vokabeln zum Thema
Read the definitions and match;Lies die Definitionen und ordne zu
What is what?;Was ist was?
Attention: You may need to form the plural of some words;Achtung: Eventuell musst du den Plural von einigen Wörtern bilden
This word is a synonym for stereotype;Dieses Wort ist ein Synonym für Stereotyp
It has a negative connotation;Es hat eine negative Konnotation
A cliché is that all Germans like to drink beer and have no sense of humor;Ein Klischee ist, dass alle Deutschen gerne Bier trinken und keinen Humor haben
Of course, something like that is never 100% true;Natürlich stimmt so etwas nie zu 100%
Thinking about the learning objectives;Über die Lernziele nachdenken
To tar everyone with the same brush;alle über einen Kamm scheren
Meaning: treating all people the same and letting oneself be guided by prejudices;Bedeutung: alle Leute gleich behandeln und sich von Vorurteilen leiten lassen
Example: You can't tar all Germans with the same brush, my friend Lisa is always late!;Beispiel: Du kannst nicht alle Deutschen über einen Kamm scheren, meine Freundin Lisa kommt immer zu spät!
Another festival: Easter;Noch ein Fest: Ostern
Read the text. Fill in the blanks;Lies den Text. Ergänze die Lücken
Free/Off;frei
Customs;Bräuche
Festival/Party;Fest
Religious;religiöses
Chocolate;Schokolade
Another important festival is Easter;Ein anderes wichtiges Fest ist Ostern
It always takes place in spring;Es findet immer im Frühling statt
The most important day is Easter Sunday;Der wichtigste Tag ist der Ostersonntag
Germans also have time off and don't have to work;haben die Deutschen auch frei und müssen nicht arbeiten
Easter is a religious festival;Ostern ist ein religiöses Fest
Christians believe that Jesus was resurrected on that day;Christen glauben, dass Jesus an dem Tag wiederauferstanden ist
There are many customs at Easter;Es gibt viele Bräuche zu Ostern
Many families hide chocolate Easter eggs;Viele Familien verstecken Ostereier aus Schokolade
Children then have to look for them;die ihre Kinder dann suchen müssen
An important symbolic figure at Easter is the Easter Bunny;Eine wichtige Symbolfigur zu Ostern ist der Osterhase
Virtues: Which ones are important to you?;Tugenden: Welche sind dir wichtig?
Modesty/Humility;Bescheidenheit
Sense of duty;Pflichtbewusstsein
Loyalty;Loyalität
Honesty;Ehrlichkeit
Diligence;Fleiß
Punctuality;Pünktlichkeit
Order;Ordnung
Reliability;Zuverlässigkeit
Politeness;Höflichkeit
Tolerance;Toleranz
What belongs to which festival?;Was gehört zu welchem Fest?
Assign the customs to the festivals;Ordne die Bräuche den Festen zu
Easter;Ostern
Christmas;Weihnachten
Oktoberfest;Oktoberfest
Easter eggs;Ostereier
Mulled wine;Glühwein
Liter (specifically of beer);Maß
Leather trousers;Lederhose
Advent wreath;Adventskranz
Easter Bunny;Osterhase
Read the text and talk about the questions;Lies den Text und sprich über die Fragen
What do you personally associate with the label?;Was verbindest du persönlich mit dem Label?
Have you seen it before?;Hast du es schon mal gesehen?
On which product?;Auf welchem Produkt?
How was it?;Wie war es?
Beer, sausage, bread, cars and garden gnomes;Bier, Wurst, Brot, Autos und Gartenzwerge
Orderly, precise, punctual, clean;ordentlich, genau, pünktlich, sauber
To not mince words (be blunt);nehmen kein Blatt vor den Mund
Are humorless;sind humorlos
Person B;Person B
Because many people in Germany are Christians;Weil viele Menschen in Deutschland Christen sind
Christmas, in the family, you eat together and exchange gifts;Weihnachten, in der Familie, man isst zusammen und tauscht Geschenke aus
In the second half of September;in der zweiten Septemberhälfte
Traditional costume, leather trousers and dirndl;Tracht, Lederhose und Dirndl
One liter;ein Liter
Christmas words;Weihnachtswörter
Advent wreath;der Adventskranz
The cookies;die Plätzchen
Christmas Eve;der Heiligabend
The Christmas market;der Weihnachtsmarkt
Mulled wine;der Glühwein
The fir tree (Christmas tree);der Tannenbaum
Speaking about German traditions;Über deutsche Traditionen sprechen
Many people in Germany are Christians;Viele Menschen in Deutschland sind Christen
That's why there are many Christian holidays there;deswegen gibt es dort viele christliche Feiertage
During the Christmas season, many Germans decorate their apartment;In der Weihnachtszeit dekorieren viele Deutsche ihre Wohnung
Buy an Advent wreath and bake cookies;kaufen einen Adventskranz und backen Plätzchen
The melting pot;der Schmelztiegel
Multicultural;multikulti
Compound words;Zusammengesetzte Wörter
Which words belong together?;Welche Wörter gehören zusammen?
Then explain the meaning as well;Erkläre dann auch die Bedeutung
Country of immigration;Einwanderungsland
Guest worker;Gastarbeiter
Diversity;Vielfalt
Migration background;Migrationshintergrund
Multiculturalism;Multikulturalität
Indonesian;indonesisch
Mongolian;mongolisch
Israeli;israelisch
Ethiopian;äthiopisch
Which cuisine would you like to try?;Welche Küche würdest du gerne mal probieren?
Which ones do you maybe already know?;Welche kennst du vielleicht schon?
Look at the pictures and formulate questions and answers about your food preferences;Sieh dir die Bilder an und formuliere Fragen und Antworten zu deinen Essenspräferenzen
World cuisine – what do you want to eat?;Weltküche – was willst du essen?
Icelandic;isländisch
Actually yes, but maybe for me as a vegetarian ... would be better;Eigentlich schon, aber vielleicht wäre für mich als Vegetarierin … besser
The roots;die Wurzeln
I give the money to the one who accompanies me;Ich gebe das Geld derjenigen, die mich begleitet
Which demonstrative pronoun fits as a substitute?;Welches Demonstrativpronomen passt als Ersatz?
Rewrite the sentences;Schreibe die Sätze um
I give the money to the woman who accompanies me;Ich gebe das Geld der Frau, die mich begleitet
We are waiting for the people who are coming later;Wir warten auf die Leute, die später kommen
The pair of shoes fits your outfit perfectly;Das Paar Schuhe passt perfekt zu deinem Outfit
It is about the child that was also being talked about yesterday;Es geht um das Kind, um das es auch gestern ging
I met the woman that you also met;Ich habe die Frau kennengelernt, die du auch kennengelernt hast
Describe pictures;Bilder beschreiben
Use as many demonstrative pronouns as possible;Verwende möglichst viele Demonstrativpronomen
I am happy/looking forward to it;Ich freue mich
Are you also happy/looking forward to it?;Freust du dich auch?
Oh my goodness! / Good grief!;Ach du liebes bisschen!
Meaning: expresses positive or negative surprise;Bedeutung: drückt eine positive oder negative Überraschung aus
End of the hour/lesson;Ende der Stunde
Is it already that late?;Is es schon so spät?
I have to be at work at nine!;Ich muss doch um neun auf der Arbeit sein!
Hurry up now! / Quick!;Jetzt aber schnell!
Which pronouns belong to which category?;Welche Pronomen gehören in welche Kategorie?
Indefinite pronouns;Indefinit-pronomen
Demonstrative pronouns;Demonstrativ-pronomen
Reflexive pronouns;Reflexiv-pronomen
The same;dasselbe
A little bit;ein bisschen
Several;mehrere
Some;Manche
Everyone/Each;jeder
Few;wenige
It is near;Es ist nah
The same;dieselbe
Accusative or Dative?;Akkusativ oder Dativ?
You wash yourself;Du wäschst dich
You brush your teeth;Ihr putzt euch die Zähne
Nothing;nichts
Someone;jemand
A little bit;ein wenig
Something;etwas
Other countries, other customs...;Andere Länder, andere Sitten …
Meaning: One says this when one is astonished by something in another culture;Bedeutung: Das sagt man, wenn man erstaunt von einer Sache in einer anderen Kultur ist
It also means that one doesn't understand it and doesn't find it so good;Es bedeutet auch, dass man es nicht versteht und dass man es nicht so gut findet
What, you're allowed to blow your nose at the table in Germany?;Was, in Deutschland darf man sich am Tisch die Nase putzen?
Well, other countries, other customs...;Tja, andere Länder, andere Sitten…
How diverse is your city?;Wie vielfältig ist deine Stadt?
Talk to the others in the course about your city and rate it on a scale of 1-10;Sprich mit den anderen im Kurs über deine Stadt und bewerte sie auf einer Skala von 1-10
How diverse is it?;Wie vielfältig ist sie?
Hmm, about 7. It's a small town, but it's quite multicultural...;Hm, ungefähr 7. Es ist eine kleine Stadt, aber sie ist recht multikulturell…
Appearances are deceptive;Der Schein trügt
Meaning: It is not always as it seems;Bedeutung: Es ist nicht immer so, wie es aussieht
Did Petra win the lottery?;Hat Petra im Lotto gewonnen?
I only see vacation photos on her profile!;Ich sehe nur noch Urlaubsfotos auf ihrem Profil!
No, appearances are deceptive!;Nein, der Schein trügt !
The photos are from last year, right now she is looking for a job;Die Fotos sind vom letzten Jahr, gerade ist sie auf Jobsuche
Form sentences;Sätze bilden
Use the words in the boxes on the left to form sentences;Benutze die Wörter in den Boxen auf der linken Seite, um Sätze zu bilden
Pay attention to conjugation and declension;Achte auf die Konjugation und Deklination
Mara – proud – to be – of – her company;Mara – stolz – sein – auf – ihre Firma
Customers – enthusiastic – to be – about – her jewelry;Kunden – begeistert – sein – von – ihr Schmuck
Quietly / without fanfare;sang- und klanglos
Meaning: without attracting attention, without being noticed much;Bedeutung: ohne aufzufallen, ohne viel beachtet zu werden
My company ended the project without a word;Meine Firma hat das Projekt sang- und klanglos beendet
I eat neither meat nor fish;Ich esse weder Fleisch noch Fisch
Form sentences with 'neither ... nor' and 'except/besides ...';Bilde Sätze mit weder … noch und außer …
I don't eat meat and no fish either;Ich esse kein Fleisch und auch keinen Fisch
I eat everything. Only cucumbers I don't eat;Ich esse alles. Nur Gurken esse ich nicht
I have never been to Italy and Spain;Ich war noch nie in Italien und Spanien
I'm not going on vacation. Everyone else is;Ich fahre nicht in den Urlaub. Alle anderen schon
He can't cook and he doesn't like cleaning;Er kann nicht kochen und er putzt nicht gern
I can work from home without any problems;Ich kann problemlos von zu Hause aus arbeiten
To value/estimate;schätzen
Productive;produktiv
Time management;Zeitmanagement
Satisfied;zufrieden
Free time/Leisure time;Freizeit
Sick leaves/reports;Krankmeldungen
Salary;Gehalt
Long-term / Short-term;langfristig / kurzfristig
Workload;Arbeitsbelastung
About the election this coming Sunday;über die Wahl am kommenden Sonntag
Both participate, Tom by mail-in ballot and Maria at the polling station on Sunday;Beide nehmen teil, Tom per Briefwahl und Maria im Wahllokal am Sonntag
It will be close;Es wird knapp
The election result of Martin Hinz and Regina Kunz could be very similar;Das Wahlergebnis von Martin Hinz und Regina Kunz könnte sehr ähnlich sein
We'll see;Wir werden´s sehen
One knows more on Sunday;Am Sonntag weiß man mehr
Sentence 1 is a fact;Satz 1 ist ein Fakt
Sentence 2 is a guess;Satz 2 ist eine Vermutung
Probably, surely, definitely;wohl, sicher, bestimmt
Behind;hinter
One man's meat is another man's poison;Des einen Freud’ ist des anderen Leid
Meaning: One and the same thing can be beautiful for one person but very unpleasant for another;Bedeutung: Ein- und dieselbe Sache kann für eine Person schön sein, für die andere aber sehr unangenehm
My teacher loves genitive prepositions, but I get a headache from them;Mein Lehrer liebt Genitiv-Präpositionen, aber ich bekomme davon Kopfschmerzen
Please call within opening hours;Bitte rufen Sie innerhalb der Öffnungszeiten an
Decline the nouns in the genitive and formulate sentences as in the example;Dekliniere die Nomen im Genitiv und formuliere Sätze wie im Beispiel
Within – our opening hours;innerhalb – unsere Öffnungszeiten
Because of the weather;wegen des Wetters
During the festival;während des Festes
Despite the rain;trotz des Regens
Because of the children;wegen der Kinder
During the holidays;während der Ferien
The wedding is taking place despite the weather;Die Hochzeit findet trotz des Wetters statt
Because of the visitors, we cannot come;Wegen der Besucher können wir nicht kommen
We want to celebrate a birthday within the summer holidays;Wir wollen innerhalb der Sommerferien Geburtstag feiern
Please let us know within a week if you are coming;Bitte sagt innerhalb einer Woche Bescheid, ob ihr kommt
Because of our daughter's illness, we have to postpone the party;Wegen der Krankheit unserer Tochter müssen wir die Feier verschieben
Nightlife;das Nachtleben
To prefer;bevorzugen
To offer;bieten
To discover;entdecken
Cosmopolitan;kosmopolitisch
To view/visit;besichtigen
To pay;zahlen
An apartment;eine Wohnung
The key;den Schlüssel
The deposit;die Kaution
Seeks/Is looking for;sucht
To rent (from someone);mieten
To rent out;vermieten
Apartment advertisement;Wohnungsanzeige
Viewing;Besichtigung
Moving in;Einzug
Documents/Papers;Unterlagen/Unterlagen
Contacting the landlord;Den Vermieter kontaktieren
Good day, I saw your apartment ad;Guten Tag, ich habe Ihre Wohnungsanzeige gesehen
Is the apartment still available?;Ist die Wohnung noch verfügbar?
From when would the apartment be ready for move-in?;Ab wann wäre die Wohnung bereit zum Einzug?
Typical phrases in apartment ads;Typische Formulierungen in Wohnungsanzeigen
To sublet;untervermieten
For temporary rental;zur Zwischenmiete
To go out;ausgehen
To argue/quarrel;streiten
Next door;nebenan
What does 'mauern' mean here?;Was bedeutet mauern hier?
Say nothing more, distance oneself;nichts mehr sagen, sich distanzieren
Become sad;traurig werden
When I want to talk to my parents about '89, they always clam up immediately;Wenn ich mit meinen Eltern über ‘89 sprechen will, mauern sie immer sofort
Real shame!;Echt schade!
I would really like to know more;Ich würde wirklich gern mehr wissen
Vocabulary exercise;Vokabelübung
Which sentences mean the same?;Welche Sätze bedeuten das Gleiche?
Nobody had expected it;Niemand hatte damit gerechnet
The (law) applies immediately;Das (Gesetz) gilt sofort
The government reacted to the fact that very many people fled and more and more demonstrated;Die Regierung reagierte darauf, dass sehr viele Menschen geflohen sind und immer mehr demonstrierten
Nobody thought that this would happen;Niemand dachte, dass das passieren wird
People are hugging each other;Die Menschen umarmen sich
They cannot believe it;Sie können es nicht glauben
The Berlin Wall;Die Berliner Mauer
The East, the West;der Osten, der Westen
The separation, the division;die Trennung, die Teilung
The border, to demarcate;die Grenze, abgrenzen
The reunification;die Wiedervereinigung
To come into effect immediately;unverzüglich in Kraft treten
The mass exodus;die Massenflucht
To bring something down;etwas zu Fall bringen
To count on/expect something;mit etwas rechnen
To approve an application;einen Antrag genehmigen
To express;zum Ausdruck bringen
To be in each other's arms;sich in den Armen liegen
To monitor/supervise;überwachen
To submit an application;einen Antrag stellen
Before;vor
Preposition;Präposition
Afterwards;danach
Subordinate clause;Nebensatz
Main clause;Hauptsatz
At the same time;zur gleichen Zeit
Since, when;seit, als
During the campaign, politicians try to convince the voters of themselves;Während des Wahlkampfs versuchen die Politiker, die Wähler von sich zu überzeugen
It was reported in the news that the Berlin Wall should be opened;In den Nachrichten wurde berichtet, dass die Berliner Mauer geöffnet werden sollte
Meanwhile, many people were already driving to the border crossings;Währenddessen fuhren bereits viele Menschen zu den Grenzübergängen
On October 3rd, 1990, Germany was reunited;Am 3. Oktober 1990 wurde Deutschland wiedervereinigt
