Die Bröchten werden aufgebacken	The rolls are baked
Do you have a nutrition plan?	Hast du einen Ernährungsplan?
Wie sind deine Essgewohnheiten?	What are your eating habits?
What are your eating habits?	Wie sind deine Essgewohnheiten?
Kannst du dir vorstellen, vegan zu essen? Warum (nicht)?	Can you imagine eating vegan? Why (not)?
Can you imagine eating vegan? Why (not)?	Kannst du dir vorstellen, vegan zu essen? Warum (nicht)?
Wie bereitest du Gemüse zu?	How do you prepare vegetables?
How do you prepare vegetables?	Wie bereitest du Gemüse zu?
Welche Produkte musst du im Kühlschrank aufbewahren?	What products do you need to store in the fridge?
What products do you need to store in the fridge?	Welche Produkte musst du im Kühlschrank aufbewahren?
Wenn man regionale Produkte kauft, unterstützt man die heimische Wirtschaft	When one buys regional products, one supports the local economy
When one buys regional products, one supports the local economy	Wenn man regionale Produkte kauft, unterstützt man die heimische Wirtschaft
Ich esse gerne gedämpftes Gemüse. Das hat die meisten Vitamine	I like to eat steamed vegetables. That has the most vitamins
I like to eat steamed vegetables. That has the most vitamins	Ich esse gerne gedämpftes Gemüse. Das hat die meisten Vitamine
Ich gehe gerne in den Feinkostladen. Dort bekomme ich viele regionale Produkte	I like going to the deli. I get a lot of regional products there
I like going to the deli. I get a lot of regional products there	Ich gehe gerne in den Feinkostladen. Dort bekomme ich viele regionale Produkte
Und woher kommen Ihr Obst und Gemüse?	And where do your fruits and vegetables come from?
And where do your fruits and vegetables come from?	Und woher kommen Ihr Obst und Gemüse?
Das finden Sie hier in der ersten Reihe	You can find that here in the front row
You can find that here in the front row	Das finden Sie hier in der ersten Reihe
Kann ich Ihnen sonst noch behilflich sein?	Can I still be helpful to you?
Can I still be helpful to you?	Kann ich Ihnen sonst noch behilflich sein?
Das Obst kommt von einem Bauernhof in Brandenburg	The fruit comes from a farm in Brandenburg
The fruit comes from a farm in Brandenburg	Das Obst kommt von einem Bauernhof in Brandenburg
Die Milch finden Sie im Kühlregal	The milk You can find in the "refrigerator shelf"
The milk You can find in the "refrigerator shelf"	Die Milch finden Sie im Kühlregal
Vielleicht ist sie unglücklich, weil ihr Mann ein bisschen "zu viel auf den Rippen" hat und gesünder essen müsste	Maybe she's unhappy because her husband has a little "too much on his plate" and must eat healthier
Maybe she's unhappy because her husband has a little "too much on his plate" and must eat healthier	Vielleicht ist sie unglücklich, weil ihr Mann ein bisschen "zu viel auf den Rippen" hat und gesünder essen müsste
Du bist ein schwieriger Gast. Du isst vieles nicht	You are a difficult guest. You don't eat a lot of things
You are a difficult guest. You don't eat a lot of things	Du bist ein schwieriger Gast. Du isst vieles nicht
Redewendung: über den Tellerrand schauen. Bedeutung: offen sein für neue Erfahrungen	Idiom: think outside the box. Meaning: be open for new experiences
Idiom: think outside the box. Meaning: be open for new experiences	Redewendung: über den Tellerrand schauen. Bedeutung: offen sein für neue Erfahrungen
Du isst immer nur Fleisch. "Schau doch mal über den Tellerrand" und probier veganes Essen	You only ever eat meat. “Think outside the box” and try vegan food
You only ever eat meat. “Think outside the box” and try vegan food	Du isst immer nur Fleisch. "Schau doch mal über den Tellerrand" und probier veganes Essen
Worauf musst du achten, wenn du einkaufen gehst?	What do you have to pay attention to when you go shopping?
What do you have to pay attention to when you go shopping?	Worauf musst du achten, wenn du einkaufen gehst?
Wonach fragst du im Supermarkt?	What do you ask for in the supermarket?
What do you ask for in the supermarket?	Wonach fragst du im Supermarkt?
In welche Abteilung gehst du nicht? Warum?	In which department don't you go? Why?
In which department don't you go? Why?	In welche Abteilung gehst du nicht? Warum?
In welche Abteilung gehst du auf jeden Fall? Warum?	In which department do you definitely go? Why?
In which department do you definitely go? Why?	In welche Abteilung gehst du auf jeden Fall? Warum?
